timestamp,group,tar,,tar_sex,alarm,flock,flock_sex,flock_proximity,aux_response,auxID,
230803-112657,msf,haru,,,1,mylo,f,10,,,0
230803-112657,msf,haru,,,1,xigu,u,na,,,0
230803-112657,msf,haru,,,1,haru,,,,,1
230804-064210,solo,haru,,,1,na,,,,,0
230804-073331,solo,pifa,,,0,na,,,,,0
230804-083630,pair,myhy,,,0,myhy,f,8,,,0
230804-083630,pair,myhy,,,0,myhy,,,,,1
230804-101041,msf,tach,,,0,tasc,m,4,,,0
230804-101041,msf,tach,,,0,daca,u,6,,,0
230804-101041,msf,tach,,,0,tach,u,5,,,0
230804-101041,msf,tach,,,0,tach,u,8,,,0
230804-101041,msf,tach,,,0,tach,,,,,1
230805-071505,ssf,hyma,,,0,hyma,u,8,,,0
230805-071505,ssf,hyma,,,0,hyma,u,8,,,0
230805-071505,ssf,hyma,,,0,hyma,u,8,,,0
230805-071505,ssf,hyma,,,0,hyma,,,,,1
230805-074744,pair,onsa,,,0,onsa,f,4,,,0
230805-074744,pair,onsa,,,0,onsa,,,,,1
230805-092801,msf,thar,,,1,thar,m,9,,,0
230805-092801,msf,thar,,,1,xigu,u,16,,,0
230805-092801,msf,thar,,,1,mylo,u,18,,,0
230805-092801,msf,thar,,,1,thar,,,,,1
230805-121319,ssf,raca,,,1,raca,u,8,,,0
230805-121319,ssf,raca,,,1,raca,u,8,,,0
230805-121319,ssf,raca,,,1,raca,u,8,,,0
230805-121319,ssf,raca,,,1,raca,,,,,1
230805-134820,msf,thar,,,1,thar,m,11,,,0
230805-134820,msf,thar,,,1,mylo,m,8,,,0
230805-134820,msf,thar,,,1,thar,,,,,1
230805-141535,msf,haru,,,1,haru,f,10,,,0
230805-141535,msf,haru,,,1,mylo,m,4,,,0
230805-141535,msf,haru,,,1,mylo,f,7,,,0
230805-141535,msf,haru,,,1,haru,,,,,1
230806-073715,solo,myhy,,,0,na,,,,,0
230806-075427,pair,mylo,,,0,mylo,f,1,,,0
230806-075427,pair,mylo,,,0,mylo,,,,,1
230806-094904,solo,sigr,,,0,na,,,,,0
230806-104238,msf,moni,,,0,moni,u,6,,,0
230806-104238,msf,moni,,,0,tasc,f,7,,,0
230806-104238,msf,moni,,,0,tasc,m,9,,,0
230806-104238,msf,moni,,,0,lolu,m,9,,,0
230806-104238,msf,moni,,,0,moni,,,,,1
230806-111141,solo,moni,,,0,na,,,,,0
230807-071222,msf,thar,,,1,thar,f,7,a,,0
230807-071222,msf,thar,,,1,haru,m,5,a,,0
230807-071222,msf,thar,,,1,haru,f,9,a,,0
230807-071222,msf,thar,,,1,tasc,m,11,a,,0
230807-071222,msf,thar,,,1,tasc,f,11,a,,0
230807-071222,msf,thar,,,1,thar,,,,,1
230807-083013,msf,xigu,,,0,sama,u,4,a,,0
230807-083013,msf,xigu,,,0,haru,m,11,a,,0
230807-083013,msf,xigu,,,0,haru,f,12,a,,0
230807-083013,msf,xigu,,,0,thar,m,18,c,,0
230807-083013,msf,xigu,,,0,deru,u,12,u,,0
230807-083013,msf,xigu,,,0,xigu,,,,,1
